year,month,day,hour,min,sec,swvel
2018,5,26,3,40,0,-0.0538856537566012
2018,5,26,3,50,0,-0.0591853353651867
2018,5,26,4,0,0,-0.0637237356176954
2018,5,26,4,10,0,-0.067459817774091
2018,5,26,4,20,0,-0.0703580727084556
2018,5,26,4,30,0,-0.0723881932652719
2018,5,26,4,40,0,-0.0735248733035122
2018,5,26,4,50,0,-0.0737476644061144
2018,5,26,5,0,0,-0.0730409211231694
2018,5,26,5,10,0,-0.0713937473478221
2018,5,26,5,20,0,-0.0687999740154505
2018,5,26,5,30,0,-0.0652581809961765
2018,5,26,5,40,0,-0.0607718481287618
2018,5,26,5,50,0,-0.0553495485381393
2018,5,26,6,0,0,-0.049005086270156
2018,5,26,6,10,0,-0.0417577127951363
2018,5,26,6,20,0,-0.0336323959621191
2018,5,26,6,30,0,-0.0246598956661591
2018,5,26,6,40,0,-0.0148768305701142
2018,5,26,6,50,0,-0.00432565281861244
2018,5,26,7,0,0,0.00694529425139458
2018,5,26,7,10,0,0.0188817621649719
2018,5,26,7,20,0,0.0314236629872678
2018,5,26,7,30,0,0.0445052434537946
2018,5,26,7,40,0,0.058055351215517
2018,5,26,7,50,0,0.0719977247909107
2018,5,26,8,0,0,0.0862512741954803
2018,5,26,8,10,0,0.100730461984274
2018,5,26,8,20,0,0.115345677930382
2018,5,26,8,30,0,0.130003685029208
2018,5,26,8,40,0,0.144608161196601
2018,5,26,8,50,0,0.159060268762582
2018,5,26,9,0,0,0.173259321665234
2018,5,26,9,10,0,0.18710346351575
2018,5,26,9,20,0,0.200490329216136
2018,5,26,9,30,0,0.213317705658864
2018,5,26,9,40,0,0.225484205179282
2018,5,26,9,50,0,0.236889969476529
2018,5,26,10,0,0,0.24743737751274
2018,5,26,10,10,0,0.257031775403666
2018,5,26,10,20,0,0.265582224566641
2018,5,26,10,30,0,0.273002335749022
2018,5,26,10,40,0,0.279211056111576
2018,5,26,10,50,0,0.284133455824716
2018,5,26,11,0,0,0.287701702340786
2018,5,26,11,10,0,0.289855991801979
2018,5,26,11,20,0,0.290545494968102
2018,5,26,11,30,0,0.28972919799855
2018,5,26,11,40,0,0.28737683057587
2018,5,26,11,50,0,0.283469674450574
2018,5,26,12,0,0,0.278001396905535
2018,5,26,12,10,0,0.270978826310911
2018,5,26,12,20,0,0.262422716302958
2018,5,26,12,30,0,0.252368527286045
2018,5,26,12,40,0,0.240867118183184
2018,5,26,12,50,0,0.227985221142924
2018,5,26,13,0,0,0.213805725619107
2018,5,26,13,10,0,0.198427832255113
2018,5,26,13,20,0,0.181966967639694
2018,5,26,13,30,0,0.164554346475208
2018,5,26,13,40,0,0.146336217794221
2018,5,26,13,50,0,0.127472771864866
2018,5,26,14,0,0,0.108136804249326
2018,5,26,14,10,0,0.0885119664343575
2018,5,26,14,20,0,0.0687907513653071
2018,5,26,14,30,0,0.0491721898761119
2018,5,26,14,40,0,0.029859181624659
2018,5,26,14,50,0,0.0110555046829038
2018,5,26,15,0,0,-0.00703732536860456
2018,5,26,15,10,0,-0.0242232707223058
2018,5,26,15,20,0,-0.0403151138654263
2018,5,26,15,30,0,-0.0551378895110108
2018,5,26,15,40,0,-0.0685321643903283
2018,5,26,15,50,0,-0.0803571945916708
2018,5,26,16,0,0,-0.0904938930729092
2018,5,26,16,10,0,-0.0988474873569281
2018,5,26,16,20,0,-0.105349734445979
2018,5,26,16,30,0,-0.109960612403466
2018,5,26,16,40,0,-0.112669414576472
2018,5,26,16,50,0,-0.113495111403297
2018,5,26,17,0,0,-0.112486177352954
2018,5,26,17,10,0,-0.109719631911457
2018,5,26,17,20,0,-0.10529935475864
2018,5,26,17,30,0,-0.0993537949746725
2018,5,26,17,40,0,-0.0920330944137076
2018,5,26,17,50,0,-0.083505566625459
2018,5,26,18,0,0,-0.0739538621301336
2018,5,26,18,10,0,-0.0635708060916248
2018,5,26,18,20,0,-0.0525549527227717
2018,5,26,18,30,0,-0.0411061565957772
2018,5,26,18,40,0,-0.0294211767576847
2018,5,26,18,50,0,-0.0176895290860593
2018,5,26,19,0,0,-0.0060896006543656
2018,5,26,19,10,0,0.00521487161095874
2018,5,26,19,20,0,0.0160777395314923
2018,5,26,19,30,0,0.0263727990624762
2018,5,26,19,40,0,0.0359954519650307
2018,5,26,19,50,0,0.0448636403384818
2018,5,26,20,0,0,0.0529181070468226
2018,5,26,20,10,0,0.0601219524211842
2018,5,26,20,20,0,0.0664597327684105
2018,5,26,20,30,0,0.0719359174224548
2018,5,26,20,40,0,0.0765728127739892
2018,5,26,20,50,0,0.0804081455077847
2018,5,26,21,0,0,0.0834924259474294
2018,5,26,21,10,0,0.0858861262431659
2018,5,26,21,20,0,0.0876568095776313
2018,5,26,21,30,0,0.0888763000459064
2018,5,26,21,40,0,0.0896179859633756
2018,5,26,21,50,0,0.0899542920242925
2018,5,26,22,0,0,0.0899546407121801
2018,5,26,22,10,0,0.0896837042061597
2018,5,26,22,20,0,0.0892000910380047
2018,5,26,22,30,0,0.0885554896156913
2018,5,26,22,40,0,0.0877940692570522
2018,5,26,22,50,0,0.0869522509467382
2018,5,26,23,0,0,0.0860587724777791
2018,5,26,23,10,0,0.0851350999134803
2018,5,26,23,20,0,0.0841959337561028
2018,5,26,23,30,0,0.0832497783853508
2018,5,26,23,40,0,0.0822995806971216
2018,5,26,23,50,0,0.0813434007836351
2018,5,27,0,0,0,0.0803751177769964
2018,5,27,0,10,0,0.0793850267259423
2018,5,27,0,20,0,0.0783603310584925
2018,5,27,0,30,0,0.0772855797678631
2018,5,27,0,40,0,0.0761429539189222
2018,5,27,0,50,0,0.0749123993525356
2018,5,27,1,0,0,0.0735716698844651
2018,5,27,1,10,0,0.0720962477474465
2018,5,27,1,20,0,0.0704593252435284
2018,5,27,1,30,0,0.0686318003862584
2018,5,27,1,40,0,0.0665823750289616
2018,5,27,1,50,0,0.0642777917239518
2018,5,27,2,0,0,0.0616832637030954
2018,5,27,2,10,0,0.0587631698160846
2018,5,27,2,20,0,0.0554819939353104
2018,5,27,2,30,0,0.0518054641884636
2018,5,27,2,40,0,0.0477020075941814
2018,5,27,2,50,0,0.043144386292851
2018,5,27,3,0,0,0.0381116194742142
2018,5,27,3,10,0,0.0325909445340196
2018,5,27,3,20,0,0.026579794470762
2018,5,27,3,30,0,0.0200878034413755
2018,5,27,3,40,0,0.0131385449310917
2018,5,27,3,50,0,0.00577095260717089
2018,5,27,4,0,0,-0.00195977903726179
2018,5,27,4,10,0,-0.0099817673010365
2018,5,27,4,20,0,-0.0182065336359508
2018,5,27,4,30,0,-0.0265296703158177
2018,5,27,4,40,0,-0.0348321260705324
2018,5,27,4,50,0,-0.042982201010898
2018,5,27,5,0,0,-0.0508381173663554
2018,5,27,5,10,0,-0.0582510301986848
2018,5,27,5,20,0,-0.0650685660257034
2018,5,27,5,30,0,-0.0711386524973593
2018,5,27,5,40,0,-0.076313613162842
2018,5,27,5,50,0,-0.0804543082209035
2018,5,27,6,0,0,-0.0834341978100694
2018,5,27,6,10,0,-0.0851432757182257
2018,5,27,6,20,0,-0.0854916588187041
2018,5,27,6,30,0,-0.0844125193245404
2018,5,27,6,40,0,-0.0818644719274132
2018,5,27,6,50,0,-0.0778332383841578
2018,5,27,7,0,0,-0.0723325282244415
2018,5,27,7,10,0,-0.0654039900981321
2018,5,27,7,20,0,-0.0571162239767987
2018,5,27,7,30,0,-0.0475629683571614
2018,5,27,7,40,0,-0.0368604254067198
2018,5,27,7,50,0,-0.0251438457710451
2018,5,27,8,0,0,-0.0125634696483266
2018,5,27,8,10,0,0.000720085474436305
2018,5,27,8,20,0,0.0145406693723111
2018,5,27,8,30,0,0.0287316218701049
2018,5,27,8,40,0,0.0431307241136926
2018,5,27,8,50,0,0.0575848665786499
2018,5,27,9,0,0,0.0719541944115144
2018,5,27,9,10,0,0.0861156503379919
2018,5,27,9,20,0,0.0999656777533149
2018,5,27,9,30,0,0.113422119562422
2018,5,27,9,40,0,0.126425107823233
2018,5,27,9,50,0,0.138936923418532
2018,5,27,10,0,0,0.150940820900843
2018,5,27,10,10,0,0.162439009094619
2018,5,27,10,20,0,0.173449752132791
2018,5,27,10,30,0,0.184003680438945
2018,5,27,10,40,0,0.194139460938333
2018,5,27,10,50,0,0.203899018699088
2018,5,27,11,0,0,0.213322655547318
2018,5,27,11,10,0,0.222444190466113
2018,5,27,11,20,0,0.231286276206867
2018,5,27,11,30,0,0.239856167899597
2018,5,27,11,40,0,0.248142243984405
2018,5,27,11,50,0,0.256111260698863
2018,5,27,12,0,0,0.263706688394105
2018,5,27,12,10,0,0.270848129524576
2018,5,27,12,20,0,0.277431932075807
2018,5,27,12,30,0,0.283332935849551
2018,5,27,12,40,0,0.288407384330489
2018,5,27,12,50,0,0.292496883701735
2018,5,27,13,0,0,0.295433413448389
2018,5,27,13,10,0,0.29704515027479
2018,5,27,13,20,0,0.29716286457137
2018,5,27,13,30,0,0.295626613884383
2018,5,27,13,40,0,0.292292610329557
2018,5,27,13,50,0,0.287040010154236
2018,5,27,14,0,0,0.279777249874128
2018,5,27,14,10,0,0.270447710355862
2018,5,27,14,20,0,0.259034480218521
2018,5,27,14,30,0,0.245564176232292
2018,5,27,14,40,0,0.230109385654403
2018,5,27,14,50,0,0.212789541569797
2018,5,27,15,0,0,0.193770304472556
2018,5,27,15,10,0,0.173261452072726
2018,5,27,15,20,0,0.151513223199721
2018,5,27,15,30,0,0.128811177369963
2018,5,27,15,40,0,0.105469787182762
2018,5,27,15,50,0,0.0818249665394736
2018,5,27,16,0,0,0.0582257067547806
2018,5,27,16,10,0,0.0350250920176374
2018,5,27,16,20,0,0.0125709704407808
2018,5,27,16,30,0,-0.00880329792229609
2018,5,27,16,40,0,-0.0287878217580827
2018,5,27,16,50,0,-0.0471044978236991
2018,5,27,17,0,0,-0.0635144057077046
2018,5,27,17,10,0,-0.0778238835426824
2018,5,27,17,20,0,-0.0898891876100924
2018,5,27,17,30,0,-0.0996196147651658
2018,5,27,17,40,0,-0.106978844344675
2018,5,27,17,50,0,-0.111984575410006
2018,5,27,18,0,0,-0.114706338681864
2018,5,27,18,10,0,-0.115261713510762
2018,5,27,18,20,0,-0.113811007951201
2018,5,27,18,30,0,-0.110550666652598
2018,5,27,18,40,0,-0.105705596494764
2018,5,27,18,50,0,-0.0995208233332323
2018,5,27,19,0,0,-0.0922525859695098
2018,5,27,19,10,0,-0.084159254834578
2018,5,27,19,20,0,-0.0754925219068657
2018,5,27,19,30,0,-0.0664891912921834
2018,5,27,19,40,0,-0.0573638534419855
2018,5,27,19,50,0,-0.04830278065605
2018,5,27,20,0,0,-0.0394590725166058
2018,5,27,20,10,0,-0.0309493729495629
2018,5,27,20,20,0,-0.022852079737205
2018,5,27,20,30,0,-0.0152072113564941
2018,5,27,20,40,0,-0.00801802495442371
2018,5,27,20,50,0,-0.00125406729677077
2018,5,27,21,0,0,0.0051444821419719
2018,5,27,21,10,0,0.0112612729951199
2018,5,27,21,20,0,0.0171973180409225
2018,5,27,21,30,0,0.0230638965089015
2018,5,27,21,40,0,0.0289751392024775
2018,5,27,21,50,0,0.0350405904960931
2018,5,27,22,0,0,0.0413581856026782
2018,5,27,22,10,0,0.048007812331081
2018,5,27,22,20,0,0.0550458081543576
2018,5,27,22,30,0,0.0625006595313597
2018,5,27,22,40,0,0.0703699127465566
2018,5,27,22,50,0,0.0786184699485012
2018,5,27,23,0,0,0.0871784650251399
2018,5,27,23,10,0,0.0959506101914333
2018,5,27,23,20,0,0.104806965700104
2018,5,27,23,30,0,0.113594911037604
2018,5,27,23,40,0,0.122142198051821
2018,5,27,23,50,0,0.130262982062663
2018,5,28,0,0,0,0.137764495183023
2018,5,28,0,10,0,0.144454140528279
2018,5,28,0,20,0,0.150146631449032
2018,5,28,0,30,0,0.154670976672856
2018,5,28,0,40,0,0.15787706999108
2018,5,28,0,50,0,0.15964148572602
2018,5,28,1,0,0,0.15987237739418
2018,5,28,1,10,0,0.158513281363367
2018,5,28,1,20,0,0.155545744440063
2018,5,28,1,30,0,0.150990598137293
2018,5,28,1,40,0,0.144907882478935
2018,5,28,1,50,0,0.13739536870223
2018,5,28,2,0,0,0.128585957726899
2018,5,28,2,10,0,0.118644033016583
2018,5,28,2,20,0,0.107760770475721
2018,5,28,2,30,0,0.0961484802612869
2018,5,28,2,40,0,0.084034394839337
2018,5,28,2,50,0,0.0716541341949352
2018,5,28,3,0,0,0.059245116283975
2018,5,28,3,10,0,0.0470401245325587
2018,5,28,3,20,0,0.0352612460674326
2018,5,28,3,30,0,0.0241144075430315
2018,5,28,3,40,0,0.0137845097279371
2018,5,28,3,50,0,0.00443140281902986
2018,5,28,4,0,0,-0.0038132442869224
2018,5,28,4,10,0,-0.0108480153416423
2018,5,28,4,20,0,-0.0166028100468828
2018,5,28,4,30,0,-0.0210388255338015
2018,5,28,4,40,0,-0.0241475883081468
2018,5,28,4,50,0,-0.0259492773137965
2018,5,28,5,0,0,-0.0264902353793447
2018,5,28,5,10,0,-0.0258398361821063
2018,5,28,5,20,0,-0.0240867955965606
2018,5,28,5,30,0,-0.0213350632079172
2018,5,28,5,40,0,-0.0176995426078168
2018,5,28,5,50,0,-0.0133015820608257
2018,5,28,6,0,0,-0.00826460529102785
2018,5,28,6,10,0,-0.0027100185805928
2018,5,28,6,20,0,0.00324649498122004
2018,5,28,6,30,0,0.00949828208514414
2018,5,28,6,40,0,0.0159504185463767
2018,5,28,6,50,0,0.022521803605203
2018,5,28,7,0,0,0.0291466282074459
2018,5,28,7,10,0,0.0357752314930457
2018,5,28,7,20,0,0.0423743819195804
2018,5,28,7,30,0,0.0489268158855947
2018,5,28,7,40,0,0.0554302311744549
2018,5,28,7,50,0,0.0618959441273075
2018,5,28,8,0,0,0.0683471624841999
2018,5,28,8,10,0,0.0748168463142171
2018,5,28,8,20,0,0.0813453360790207
2018,5,28,8,30,0,0.0879780002809717
2018,5,28,8,40,0,0.0947627571216025
2018,5,28,8,50,0,0.101747704174615
2018,5,28,9,0,0,0.108978803615506
2018,5,28,9,10,0,0.116497828085978
2018,5,28,9,20,0,0.124340592336153
2018,5,28,9,30,0,0.132535329847239
2018,5,28,9,40,0,0.141101442251889
2018,5,28,9,50,0,0.150048585329237
2018,5,28,10,0,0,0.159375847987604
2018,5,28,10,10,0,0.169071176826679
2018,5,28,10,20,0,0.179111003564492
2018,5,28,10,30,0,0.189460008438996
2018,5,28,10,40,0,0.200071065040893
2018,5,28,10,50,0,0.210885302919134
2018,5,28,11,0,0,0.221832226440659
2018,5,28,11,10,0,0.232829907415178
2018,5,28,11,20,0,0.243785275892702
2018,5,28,11,30,0,0.254594569415079
2018,5,28,11,40,0,0.265143949907576
2018,5,28,11,50,0,0.275310113889977
2018,5,28,12,0,0,0.284961143182921
2018,5,28,12,10,0,0.293957506588455
2018,5,28,12,20,0,0.302153313368071
2018,5,28,12,30,0,0.309397932277965
2018,5,28,12,40,0,0.315537792434251
2018,5,28,12,50,0,0.320418533157611
2018,5,28,13,0,0,0.323887640634312
2018,5,28,13,10,0,0.325797422357509
2018,5,28,13,20,0,0.326008176114881
2018,5,28,13,30,0,0.324391499777048
2018,5,28,13,40,0,0.320833927850449
2018,5,28,13,50,0,0.315240791245986
2018,5,28,14,0,0,0.307540086339714
2018,5,28,14,10,0,0.297686338734942
2018,5,28,14,20,0,0.28566428173485
2018,5,28,14,30,0,0.271492335655345
2018,5,28,14,40,0,0.255225565195767
2018,5,28,14,50,0,0.236957967547316
2018,5,28,15,0,0,0.216823990215844
2018,5,28,15,10,0,0.19499921025084
2018,5,28,15,20,0,0.171700033264043
2018,5,28,15,30,0,0.147182154999783
2018,5,28,15,40,0,0.121737836447279
2018,5,28,15,50,0,0.0956919948759937
2018,5,28,16,0,0,0.0693971209956751
2018,5,28,16,10,0,0.0432270170096292
2018,5,28,16,20,0,0.0175695042135552
2018,5,28,16,30,0,-0.00718180960844865
2018,5,28,16,40,0,-0.0306364833019917
2018,5,28,16,50,0,-0.0524166522690124
2018,5,28,17,0,0,-0.0721665374672321
2018,5,28,17,10,0,-0.0895618230217512
2018,5,28,17,20,0,-0.104318832274366
2018,5,28,17,30,0,-0.116202976451463
2018,5,28,17,40,0,-0.125036056195717
2018,5,28,17,50,0,-0.130702363609729
2018,5,28,18,0,0,-0.133153194290276
2018,5,28,18,10,0,-0.132409728769304
2018,5,28,18,20,0,-0.128563871435807
2018,5,28,18,30,0,-0.121776975852715
2018,5,28,18,40,0,-0.112276558898563
2018,5,28,18,50,0,-0.100350992630693
2018,5,28,19,0,0,-0.086342202980573
2018,5,28,19,10,0,-0.0706363974513067
2018,5,28,19,20,0,-0.0536533343527427
2018,5,28,19,30,0,-0.035834357121981
2018,5,28,19,40,0,-0.0176295495043137
2018,5,28,19,50,0,0.000515583042431794
2018,5,28,20,0,0,0.0181734979876484
2018,5,28,20,10,0,0.0349475572009764
2018,5,28,20,20,0,0.0504840081881415
2018,5,28,20,30,0,0.0644828151587478
2018,5,28,20,40,0,0.0767066678531358
2018,5,28,20,50,0,0.0869879340237285
2018,5,28,21,0,0,0.095233399602354
2018,5,28,21,10,0,0.101426475832043
2018,5,28,21,20,0,0.105626671499699
2018,5,28,21,30,0,0.107966415416855
2018,5,28,21,40,0,0.108645361528809
2018,5,28,21,50,0,0.107922330314748
2018,5,28,22,0,0,0.10610507667192
2018,5,28,22,10,0,0.103538348459011
2018,5,28,22,20,0,0.100590675466687
2018,5,28,22,30,0,0.0976403550689336
2018,5,28,22,40,0,0.0950610138233955
2018,5,28,22,50,0,0.093207397699706
2018,5,28,23,0,0,0.0924019120224608
2018,5,28,23,10,0,0.0929222947782997
2018,5,28,23,20,0,0.0949909032248984
2018,5,28,23,30,0,0.0987660168273454
2018,5,28,23,40,0,0.104335410436645
2018,5,28,23,50,0,0.111712501944424
