year,month,day,hour,min,sec,swvel
2018,5,27,3,50,0,0.000746931744808776
2018,5,27,4,0,0,-0.00409574897665502
2018,5,27,4,10,0,-0.00899725740302419
2018,5,27,4,20,0,-0.013923032321256
2018,5,27,4,30,0,-0.0188311939310622
2018,5,27,4,40,0,-0.0236719084090064
2018,5,27,4,50,0,-0.0283872282752773
2018,5,27,5,0,0,-0.0329112553134157
2018,5,27,5,10,0,-0.0371706996364357
2018,5,27,5,20,0,-0.0410857402078975
2018,5,27,5,30,0,-0.0445713698021391
2018,5,27,5,40,0,-0.0475390005996199
2018,5,27,5,50,0,-0.049898494038709
2018,5,27,6,0,0,-0.0515605130286847
2018,5,27,6,10,0,-0.0524391141712104
2018,5,27,6,20,0,-0.0524544023621596
2018,5,27,6,30,0,-0.0515351116184484
2018,5,27,6,40,0,-0.0496210083299725
2018,5,27,6,50,0,-0.0466650337933909
2018,5,27,7,0,0,-0.042635248280555
2018,5,27,7,10,0,-0.0375163746020915
2018,5,27,7,20,0,-0.0313110382111096
2018,5,27,7,30,0,-0.0240403784554923
2018,5,27,7,40,0,-0.0157440449764417
2018,5,27,7,50,0,-0.00647956546600313
2018,5,27,8,0,0,0.00367880268701463
2018,5,27,8,10,0,0.0146416239784518
2018,5,27,8,20,0,0.0263064043547746
2018,5,27,8,30,0,0.038560058293354
2018,5,27,8,40,0,0.0512815928523314
2018,5,27,8,50,0,0.0643449444817322
2018,5,27,9,0,0,0.0776219961167665
2018,5,27,9,10,0,0.0909855412847953
2018,5,27,9,20,0,0.104312110619897
2018,5,27,9,30,0,0.117484380536907
2018,5,27,9,40,0,0.130393177019832
2018,5,27,9,50,0,0.142939056393338
2018,5,27,10,0,0,0.155033384048205
2018,5,27,10,10,0,0.16659890324889
2018,5,27,10,20,0,0.177569829067126
2018,5,27,10,30,0,0.187891500936293
2018,5,27,10,40,0,0.197519568901992
2018,5,27,10,50,0,0.206418686001261
2018,5,27,11,0,0,0.214560843782175
2018,5,27,11,10,0,0.221923687151339
2018,5,27,11,20,0,0.22848867403387
2018,5,27,11,30,0,0.234239166545164
2018,5,27,11,40,0,0.239158589518382
2018,5,27,11,50,0,0.243228915958832
2018,5,27,12,0,0,0.246429466604257
2018,5,27,12,10,0,0.24873601332883
2018,5,27,12,20,0,0.25012036959531
2018,5,27,12,30,0,0.250550507932041
2018,5,27,12,40,0,0.249991163675665
2018,5,27,12,50,0,0.248404964519942
2018,5,27,13,0,0,0.245754061734262
2018,5,27,13,10,0,0.242002135100206
2018,5,27,13,20,0,0.237116712590882
2018,5,27,13,30,0,0.23107185139956
2018,5,27,13,40,0,0.223850986190736
2018,5,27,13,50,0,0.215449695303056
2018,5,27,14,0,0,0.205878338877601
2018,5,27,14,10,0,0.195164261780616
2018,5,27,14,20,0,0.183353802576002
2018,5,27,14,30,0,0.170513837756201
2018,5,27,14,40,0,0.156732591400866
2018,5,27,14,50,0,0.142119885191156
2018,5,27,15,0,0,0.126806538724617
2018,5,27,15,10,0,0.11094306089114
2018,5,27,15,20,0,0.094697719481915
2018,5,27,15,30,0,0.0782537901849462
2018,5,27,15,40,0,0.0618061497577098
2018,5,27,15,50,0,0.0455572712445661
2018,5,27,16,0,0,0.0297126650091082
2018,5,27,16,10,0,0.0144759337464157
2018,5,27,16,20,0,4.36870477282525e-05
2018,5,27,16,30,0,-0.0133995682010564
2018,5,27,16,40,0,-0.0256862563173098
2018,5,27,16,50,0,-0.0366703231303674
2018,5,27,17,0,0,-0.0462311074357997
2018,5,27,17,10,0,-0.0542765888334944
2018,5,27,17,20,0,-0.0607457788350326
2018,5,27,17,30,0,-0.0656102801650577
2018,5,27,17,40,0,-0.0688748428617488
2018,5,27,17,50,0,-0.0705768016305588
2018,5,27,18,0,0,-0.0707845290239295
2018,5,27,18,10,0,-0.0695949810266726
2018,5,27,18,20,0,-0.067130259627829
2018,5,27,18,30,0,-0.0635333375093278
